bot,elo,nb_played,RAVE_50,UCB_50,FLAT_50
RAVE_50,1286,8,0/0,1/2,2/2
UCB_50,1228,8,0/1,0/0,2/2
FLAT_50,1075,8,0/0,0/0,0/0
