datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_07_19_26_40,GRAVE_1000,SH_1000,GRAVE_1000,1225,1244,1246,1228
2021_04_07_19_26_40,SHUSS_1000_C128,SH_1000,SH_1000,1238,1228,1217,1243
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C128,SH_1000,1243,1217,1256,1198
2021_04_07_19_26_40,SHUSS_1000_C128,UCB_1000,SHUSS_1000_C128,1198,1137,1210,1124
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C128,SHUSS_1000_C128,1124,1210,1112,1221
2021_04_07_19_26_40,SHUSS_1000_C16,FLAT_1000,SHUSS_1000_C16,1233,1092,1242,1079
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C16,FLAT_1000,1079,1242,1107,1220
2021_04_07_19_26_40,SHUSS_1000_C64,SH_1000,SH_1000,1274,1256,1258,1271
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C64,SH_1000,1271,1258,1285,1243
2021_04_07_19_26_40,SHUSS_1000_C16,GRAVE_1000,GRAVE_1000,1220,1246,1206,1259
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C16,SHUSS_1000_C16,1259,1206,1241,1223
2021_04_07_19_26_40,SHUSS_1000_C256,RAVE_1000,SHUSS_1000_C256,1179,1145,1192,1131
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C256,SHUSS_1000_C256,1131,1192,1118,1204
2021_04_07_19_26_40,SHUSS_1000_C256,GRAVE_1000,SHUSS_1000_C256,1204,1241,1220,1224
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C256,SHUSS_1000_C256,1224,1220,1208,1235
2021_04_07_19_26_40,SHUSS_1000_C128,GRAVE_1000,GRAVE_1000,1221,1208,1205,1223
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C128,GRAVE_1000,1223,1205,1237,1190
2021_04_07_19_26_40,UCT_1000,SH_1000,SH_1000,1189,1285,1178,1295
2021_04_07_19_26_40,SH_1000,UCT_1000,SH_1000,1295,1178,1305,1167
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C128,1243,1190,1225,1207
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C64,SHUSS_1000_C64,1207,1225,1192,1239
2021_04_07_19_26_40,UCT_1000,FLAT_1000,UCT_1000,1167,1107,1179,1090
2021_04_07_19_26_40,FLAT_1000,UCT_1000,UCT_1000,1090,1179,1075,1190
2021_04_07_19_26_40,GRAVE_1000,FLAT_1000,GRAVE_1000,1237,1075,1245,1066
2021_04_07_19_26_40,FLAT_1000,GRAVE_1000,FLAT_1000,1066,1245,1088,1222
2021_04_07_19_26_40,SHUSS_1000_C64,FLAT_1000,SHUSS_1000_C64,1239,1088,1247,1079
