Unnamed: 0,datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C64,SHUSS_1000_C64,1263,1294,1244,1307
,2021_04_08_14_15_58,SHUSS_1000_C256,UCT_1000,SHUSS_1000_C256,1275,1216,1287,1203
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C256,UCT_1000,1203,1287,1221,1268
,2021_04_08_14_15_58,SHUSS_1000_C16,RAVE_1000,Error,1213,1209,1213,1209
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C16,SHUSS_1000_C16,1209,1213,1194,1227
,2021_04_08_14_15_58,SHUSS_1000_C128,UCT_1000,SHUSS_1000_C128,1244,1221,1262,1206
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C128,UCT_1000,1206,1262,1223,1238
,2021_04_08_14_15_58,SHUSS_1000_C256,SH_1000,SHUSS_1000_C256,1268,1180,1279,1164
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C256,SHUSS_1000_C256,1164,1279,1150,1289
,2021_04_08_14_15_58,SHUSS_1000_C64,SHUSS_1000_C256,SHUSS_1000_C256,1307,1289,1291,1304
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C64,SHUSS_1000_C256,1304,1291,1318,1276
,2021_04_08_14_15_58,RAVE_1000,UCB_1000,RAVE_1000,1194,1042,1202,1033
,2021_04_08_14_15_58,UCB_1000,RAVE_1000,UCB_1000,1033,1202,1054,1180
,2021_04_08_14_15_58,SH_1000,GRAVE_1000,GRAVE_1000,1150,1208,1137,1220
,2021_04_08_14_15_58,GRAVE_1000,SH_1000,SH_1000,1220,1137,1201,1155
,2021_04_08_14_15_58,SHUSS_1000_C128,GRAVE_1000,SHUSS_1000_C128,1238,1201,1251,1187
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C128,SHUSS_1000_C128,1187,1251,1174,1263
,2021_04_08_14_15_58,SHUSS_1000_C128,RAVE_1000,SHUSS_1000_C128,1263,1180,1274,1168
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C128,SHUSS_1000_C128,1168,1274,1157,1284
,2021_04_08_14_15_58,SHUSS_1000_C16,SHUSS_1000_C128,SHUSS_1000_C128,1227,1284,1214,1296
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C16,SHUSS_1000_C16,1296,1214,1277,1232
,2021_04_08_14_15_58,UCB_1000,FLAT_1000,UCB_1000,1054,1036,1068,1021
,2021_04_08_14_15_58,FLAT_1000,UCB_1000,FLAT_1000,1021,1068,1038,1050
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C256,SHUSS_1000_C128,1277,1318,1293,1301
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C128,SHUSS_1000_C128,1301,1293,1285,1308
,2021_04_08_14_15_58,SHUSS_1000_C64,RAVE_1000,SHUSS_1000_C64,1276,1157,1286,1146
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1146,1286,1136,1295
,2021_04_08_14_15_58,SHUSS_1000_C64,SH_1000,SHUSS_1000_C64,1295,1155,1304,1145
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C64,SHUSS_1000_C64,1145,1304,1136,1312
,2021_04_08_14_15_58,SHUSS_1000_C16,SH_1000,SHUSS_1000_C16,1232,1136,1242,1125
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C16,SHUSS_1000_C16,1125,1242,1114,1252
,2021_04_08_14_15_58,SH_1000,FLAT_1000,SH_1000,1114,1038,1125,1026
,2021_04_08_14_15_58,FLAT_1000,SH_1000,SH_1000,1026,1125,1015,1135
,2021_04_08_14_15_58,UCB_1000,FLAT_1000,UCB_1000,1050,1015,1063,1001
,2021_04_08_14_15_58,FLAT_1000,UCB_1000,FLAT_1000,1001,1063,1018,1045
,2021_04_08_14_15_58,GRAVE_1000,RAVE_1000,GRAVE_1000,1174,1136,1187,1122
,2021_04_08_14_15_58,RAVE_1000,GRAVE_1000,GRAVE_1000,1122,1187,1109,1199
,2021_04_08_14_15_58,SHUSS_1000_C128,RAVE_1000,SHUSS_1000_C128,1308,1109,1315,1101
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C128,SHUSS_1000_C128,1101,1315,1096,1321
,2021_04_08_14_15_58,SH_1000,RAVE_1000,RAVE_1000,1135,1096,1118,1107
,2021_04_08_14_15_58,RAVE_1000,SH_1000,RAVE_1000,1107,1118,1117,1102
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C256,SHUSS_1000_C128,1321,1285,1329,1271
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C128,SHUSS_1000_C256,1271,1329,1288,1317
,2021_04_08_14_15_58,UCT_1000,GRAVE_1000,UCT_1000,1223,1199,1236,1189
,2021_04_08_14_15_58,GRAVE_1000,UCT_1000,UCT_1000,1189,1236,1180,1248
,2021_04_08_14_15_58,SH_1000,GRAVE_1000,GRAVE_1000,1102,1180,1094,1187
,2021_04_08_14_15_58,GRAVE_1000,SH_1000,SH_1000,1187,1094,1174,1106
,2021_04_08_14_15_58,UCT_1000,UCB_1000,UCT_1000,1248,1045,1252,1040
,2021_04_08_14_15_58,UCB_1000,UCT_1000,UCT_1000,1040,1252,1035,1256
,2021_04_08_14_15_58,SHUSS_1000_C64,UCT_1000,SHUSS_1000_C64,1312,1256,1324,1247
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1247,1324,1239,1335
,2021_04_08_14_15_58,UCT_1000,SH_1000,SH_1000,1239,1106,1225,1119
,2021_04_08_14_15_58,SH_1000,UCT_1000,UCT_1000,1119,1225,1111,1232
,2021_04_08_14_15_58,SHUSS_1000_C128,GRAVE_1000,SHUSS_1000_C128,1317,1174,1323,1167
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C128,SHUSS_1000_C128,1167,1323,1161,1328
,2021_04_08_14_15_58,SHUSS_1000_C16,SH_1000,SH_1000,1252,1111,1231,1124
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C16,SHUSS_1000_C16,1124,1231,1116,1241
,2021_04_08_14_15_58,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C64,1335,1328,1344,1318
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C64,SHUSS_1000_C128,1318,1344,1328,1333
,2021_04_08_14_15_58,SHUSS_1000_C128,UCB_1000,SHUSS_1000_C128,1328,1035,1331,1031
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C128,SHUSS_1000_C128,1031,1331,1027,1334
,2021_04_08_14_15_58,SHUSS_1000_C256,GRAVE_1000,SHUSS_1000_C256,1288,1161,1294,1154
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C256,GRAVE_1000,1154,1294,1167,1280
,2021_04_08_14_15_58,SHUSS_1000_C16,RAVE_1000,SHUSS_1000_C16,1241,1117,1250,1110
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C16,RAVE_1000,1110,1250,1123,1236
,2021_04_08_14_15_58,SHUSS_1000_C64,RAVE_1000,RAVE_1000,1333,1123,1317,1138
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1138,1317,1132,1322
,2021_04_08_14_15_58,SHUSS_1000_C64,SHUSS_1000_C256,SHUSS_1000_C64,1322,1280,1330,1271
