datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,SHUSS_1000_64,1200,1200,1220,1180
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,GRAVE_10000,1180,1220,1202,1197
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,GRAVE_10000,1197,1202,1177,1221
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,GRAVE_10000,1221,1177,1238,1159
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,GRAVE_10000,1159,1238,1143,1253
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,SHUSS_1000_64,1253,1143,1226,1169
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,GRAVE_10000,1169,1226,1152,1242
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,GRAVE_10000,1242,1152,1256,1137
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,GRAVE_10000,1137,1256,1123,1269
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,GRAVE_10000,1269,1123,1281,1110
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,GRAVE_10000,1110,1281,1101,1289
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,GRAVE_10000,1289,1101,1296,1093
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,SHUSS_1000_64,1093,1296,1115,1273
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,SHUSS_1000_64,1273,1115,1251,1136
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,GRAVE_10000,1136,1251,1125,1261
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,SHUSS_1000_64,1261,1125,1240,1145
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,GRAVE_10000,1145,1240,1134,1250
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,SHUSS_1000_64,1250,1134,1230,1153
2021_04_10_22_37_41,SHUSS_1000_64,GRAVE_10000,SHUSS_1000_64,1153,1230,1171,1211
2021_04_10_22_37_41,GRAVE_10000,SHUSS_1000_64,GRAVE_10000,1211,1171,1224,1157
