white_bot,black_bot,score,time
SHUSS_50_64,UCT_50,1.0,4.234375
UCT_50,SHUSS_50_64,0.0,21.640625
SHUSS_50_64,UCT_50,1.0,25.390625
UCT_50,SHUSS_50_64,0.0,5.03125
