white_bot,black_bot,score,time
UCB_1000,UCT_1000,0.0,224.91051154100205
SHUSS_1000_C64,UCT_1000,1.0,293.996593828997
UCT_1000,SHUSS_1000_C64,0.0,118.18459812400033
UCT_1000,SH_1000,0.0,191.15568636700118
SH_1000,UCT_1000,0.0,87.04713039700073
SHUSS_1000_C128,GRAVE_1000,1.0,171.78983152599903
GRAVE_1000,SHUSS_1000_C128,0.0,214.50271263499963
SHUSS_1000_C16,SH_1000,0.0,286.0414555269999
SH_1000,SHUSS_1000_C16,0.0,97.93177847200059
SHUSS_1000_C64,SHUSS_1000_C128,1.0,101.1844925430014
SHUSS_1000_C128,SHUSS_1000_C64,1.0,132.59192570899904
SHUSS_1000_C128,UCB_1000,1.0,208.92118112800017
UCB_1000,SHUSS_1000_C128,0.0,212.89859982000053
SHUSS_1000_C256,GRAVE_1000,1.0,185.1310222259999
GRAVE_1000,SHUSS_1000_C256,1.0,265.9692660969995
SHUSS_1000_C16,RAVE_1000,1.0,272.1999210190006
RAVE_1000,SHUSS_1000_C16,1.0,122.51572088499961
SHUSS_1000_C64,RAVE_1000,0.0,243.47329033699862
RAVE_1000,SHUSS_1000_C64,0.0,217.45514472899958
SHUSS_1000_C64,SHUSS_1000_C256,1.0,75.60221975400054
SHUSS_1000_C256,SHUSS_1000_C64,1.0,65.00131392399999
SHUSS_1000_C256,UCB_1000,1.0,213.51954389399907
UCB_1000,SHUSS_1000_C256,0.0,87.5959258920011
SHUSS_1000_C64,FLAT_1000,1.0,149.34645465599897
FLAT_1000,SHUSS_1000_C64,0.0,64.75327327800187
SHUSS_1000_C16,FLAT_1000,1.0,292.24635818099705
FLAT_1000,SHUSS_1000_C16,0.0,50.71624361999784
SHUSS_1000_C256,FLAT_1000,1.0,39.3832719359998
FLAT_1000,SHUSS_1000_C256,0.0,114.36577385900091
RAVE_1000,UCB_1000,1.0,193.63180912000098
UCB_1000,RAVE_1000,0.0,141.8450535330012
UCT_1000,RAVE_1000,1.0,221.78420550199735
RAVE_1000,UCT_1000,1.0,305.5892487460005
